"timestamp","source","message"
"2022-11-17T14:09:08.462Z","dvllkbw16b","[TASK] [251170] [Get documents] Elapsed time: 101 ms (slow task) for 4 docs"
"2022-11-17T14:09:22.220Z","dvllkbw16b","[TASK] [251197] [Get documents] Elapsed time: 209 ms (slow task) for 4 docs"
"2022-11-17T14:09:19.735Z","dvllkbw16b","[TASK] [251192] [Get documents] Elapsed time: 344 ms (slow task) for 4 docs"
"2022-11-17T14:08:43.429Z","dvllkbw16b","[TASK] [251120] [Get documents] Elapsed time: 336 ms (slow task) for 4 docs"
"2022-11-17T14:08:31.648Z","dvllkbw16b","[TASK] [251097] [Get documents] Elapsed time: 172 ms (slow task) for 4 docs"
"2022-11-17T14:08:32.215Z","dvllkbw16b","[TASK] [251098] [Get documents] Elapsed time: 238 ms (slow task) for 4 docs"
"2022-11-17T14:09:41.299Z","dvllkbw16b","[TASK] [251235] [Get documents] Elapsed time: 267 ms (slow task) for 4 docs"
"2022-11-17T14:09:31.703Z","dvllkbw16b","[TASK] [251216] [Get documents] Elapsed time: 226 ms (slow task) for 4 docs"
"2022-11-17T14:08:03.117Z","dvllkbw16b","[TASK] [251040] [Get documents] Elapsed time: 268 ms (slow task) for 4 docs"
"2022-11-17T14:05:50.722Z","dvllkbw16b","[TASK] [250777] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:48.721Z","dvllkbw16b","[TASK] [250773] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:49.221Z","dvllkbw16b","[TASK] [250774] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:49.721Z","dvllkbw16b","[TASK] [250775] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:50.231Z","dvllkbw16b","[TASK] [250776] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:51.221Z","dvllkbw16b","[TASK] [250778] [Get documents] Start execution while MongoDB is not connected"
"2022-11-17T14:05:51.721Z","dvllkbw16b","[TASK] [250779] [Get documents] Start execution while MongoDB is not connected"
